               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10803,            0.014106,            0.073553,           0.0013204,             0.13636,           0.0010148,          0.00015455,            0.070417,            0.011017,            0.051023,              0.0964,              0.0004,              0.0004
                   1,             0.10473,            0.013059,            0.069189,           0.0013345,             0.13636,             0.00124,          0.00027242,            0.067108,            0.011701,            0.050745,            0.091896,          0.00089644,          0.00089644
                   2,            0.096788,            0.016874,            0.069763,            0.003003,             0.27273,           0.0026302,          0.00044739,            0.063228,            0.012454,            0.050091,            0.087389,           0.0013889,           0.0013889
                   3,             0.09254,            0.018279,            0.067416,           0.0037831,             0.27273,            0.003371,          0.00082966,            0.055853,            0.013907,            0.048907,            0.082877,           0.0018774,           0.0018774
                   4,            0.085726,            0.018089,            0.073273,             0.00489,             0.36364,           0.0047365,            0.001185,            0.052787,            0.014445,            0.048052,            0.078362,            0.002362,            0.002362
                   5,            0.077273,            0.015413,             0.06721,           0.0048132,             0.36818,           0.0038436,          0.00068662,            0.048173,            0.015442,            0.046487,            0.073843,           0.0028426,           0.0028426
                   6,            0.080996,            0.020226,            0.063257,           0.0049483,             0.37273,           0.0038998,          0.00051495,            0.046066,            0.015825,            0.044706,            0.069319,           0.0033192,           0.0033192
                   7,             0.08336,            0.026327,            0.063888,           0.0049483,             0.37273,           0.0038998,          0.00051495,            0.046066,            0.015825,            0.044706,            0.064792,           0.0037919,           0.0037919
                   8,            0.073778,            0.023575,            0.059095,           0.0070364,             0.56818,           0.0061406,           0.0013664,            0.045302,            0.015738,            0.043169,            0.060261,           0.0042606,           0.0042606
                   9,            0.077441,            0.021605,            0.056059,           0.0092587,                0.85,            0.027001,           0.0058251,            0.043934,            0.015945,            0.040407,            0.055725,           0.0047254,           0.0047254
                  10,            0.076009,            0.021572,            0.057577,            0.010686,                   1,            0.039139,           0.0069643,            0.045292,              0.0152,            0.037366,            0.051186,           0.0051862,           0.0051862
                  11,            0.076959,            0.019434,             0.05361,            0.010686,                   1,            0.039139,           0.0069643,            0.045292,              0.0152,            0.037366,            0.046643,            0.005643,            0.005643
