               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10587,            0.015698,            0.069341,           0.0013357,             0.13636,           0.0010494,          0.00018339,            0.069789,            0.011155,            0.051026,              0.0964,              0.0004,              0.0004
                   1,              0.1062,            0.016173,            0.073933,           0.0018399,             0.18182,           0.0016045,          0.00024427,            0.066202,            0.011913,            0.050701,            0.091898,          0.00089822,          0.00089822
                   2,             0.10012,            0.017078,            0.068357,           0.0034091,             0.27273,           0.0029444,          0.00063627,            0.063017,            0.012495,            0.050055,            0.087394,           0.0013945,           0.0013945
                   3,            0.086217,            0.013709,            0.070776,           0.0060606,             0.45455,           0.0063657,           0.0014811,            0.057922,            0.013593,            0.048399,            0.082889,           0.0018887,           0.0018887
                   4,            0.098424,            0.019118,            0.069604,           0.0058824,             0.45455,           0.0067555,           0.0016863,            0.054244,            0.014422,             0.04778,            0.078381,            0.002381,            0.002381
                   5,            0.089594,            0.026268,            0.069315,           0.0068358,                0.55,           0.0082857,            0.002105,             0.04774,            0.015835,            0.046434,            0.073871,           0.0028713,           0.0028713
                   6,            0.084733,            0.023408,            0.067968,            0.011875,                 0.9,            0.013224,           0.0024034,            0.045931,            0.016015,            0.044679,             0.06936,           0.0033596,           0.0033596
                   7,            0.076852,            0.021296,            0.063203,            0.011875,                 0.9,            0.013224,           0.0024034,            0.045931,            0.016015,            0.044679,            0.064846,           0.0038459,           0.0038459
                   8,            0.082517,            0.028341,            0.061855,            0.011928,             0.95455,            0.016155,           0.0026764,             0.04571,            0.015971,            0.043241,             0.06033,           0.0043303,           0.0043303
                   9,            0.069111,            0.019898,            0.047723,            0.012205,                   1,            0.028271,           0.0068545,             0.04479,             0.01588,            0.042227,            0.055813,           0.0048127,           0.0048127
